uuid,old_name,new_name,type
e0a5dc88-1d7a-4cb7-abb4-510efcb6f5be,"Disposal, plastic waste, unspecified","Disposal, plastic waste; unspecified",flow
a9f7888a-42fc-4201-a985-e997a80dd018,"High density polyethylene (HDPE), combusted","High density polyethylene, HDPE, combusted",flow
c23ac9a1-b8a3-3800-8c47-9f3b8252e7ab,Pulpwood; softwood; national forest; gentle slope; at forest road,"Pulpwood, softwood; national forest, gentle slope; at forest road",flow
8d1602f5-e7c3-38a9-a00a-3537948d4ac2,"Metal composite material (MCM) sheet, at plant","Metal composite material, MCM, sheet; at plant",flow
b9bf3487-2f01-3efd-8f0a-b02272a95ac4,"Overburden, stockpiled, on-site, for unspecified beneficial use","Overburden; stockpiled, for unspecified beneficial use; on-site",flow
d62a12a3-356b-3178-8c16-507829741d0f,"Formic acid, 10% solution, at plant",Formic acid; 10% solution; at plant,flow
0fe54247-1f28-3597-bd5e-98431dc2f685,"Deposit containers, at collection",Deposit containers; at collection,flow
1562e568-d17c-30c3-bb1f-2fad96ae4069,"Glass, for liquid crystal display ",Glass; for liquid crystal display,flow
aff30034-4528-34fe-9baa-3d803a3b785b,"Polymers, at plant",Polymers; at plant,flow
f11972ff-cf21-42c9-85b6-339fffcd1e08,"Disposal, waste, unspecified","Disposal, waste; unspecified",flow
1c639821-1428-35ac-aaa4-277aacdc7420,"Transport, single unit truck, long-haul, diesel powered","Transport; single unit truck, long-haul; diesel powered",flow
b80efd1d-92b2-377d-9795-3796c6553784,"Heat, from biomass ",Heat; from biomass,flow
8d2dd2ca-07cb-3ace-b1db-6f7efff79337,"Copper Chromium Arsenate (CCA), at plant","Copper chromium arsenate, CCA; at plant",flow
2eb3ce0f-e59a-3ba9-ab44-2398b021d108,"Glyphosate, at regional storehouse",Glyphosate; at regional storehouse,flow
42929598-5cd9-4fac-a79d-fd0ab85a4176,"Disposal, hazardous waste, to unspecified hazardous waste landfill","Disposal, hazardous waste; to unspecified hazardous waste landfill",flow
f5f6cd04-faff-3935-8e77-8f1571bbb6fb,"UV-cured topcoat, 100% solids",UV-cured topcoat; 100% solids,flow
6b902763-aac9-346e-932c-1ce6f29d5904,"Potassium chloride, as K2O, at regional storehouse","Potassium chloride, K2O; at regional storehouse",flow
813f227d-31ee-3198-850d-dce3eea1df3e,Bark; softwood; national forest; steep slope; at forest road,"Bark, softwood; national forest, steep slope; at forest road",flow
63f8e430-7742-37c5-b707-040af692be43,"Neo pentyl glycol, at plant",Neo pentyl glycol; at plant,flow
c670f34f-b874-4928-89c0-a64ff78d7053,"Recycled postconsumer high-density polyethylene, HDPE, flake","Recycled postconsumer high-density polyethylene, HDPE; flake",flow
19ac1c40-d97e-3a44-b978-6d8150738d52,"Transport, passenger car, diesel powered",Transport; passenger car; diesel powered,flow
